GT1,id,submitted_us,completed_us,drain_us
GT1,109,8816,16544,7728
GT1,110,9441,16763,7322
GT1,111,8843,16223,7380
GT1,112,8919,16564,7645
GT1,113,9674,16737,7063
GT1,114,8977,16173,7196
GT1,115,9524,16652,7128
GT1,116,9254,16500,7246
GT1,117,10643,16637,5994
GT1,118,9254,16327,7073
GT1,119,9855,16675,6820
