case,variant,kind,exact,failure,bytes,encode_ms,original_cli_exact,sha256
tiny,png-l1-s2-f1,png,True,,271,0.005893,False,83f148d28360db75371b0820d967a8608ee25cc4fa7b98be93463c45474a979c
tiny,png-l1-s2-f2,png,True,,271,0.005563333333333333,False,b52ca31a5e1530d5068771899ad34ea1a0f69d20a6dc58a434c6161bc96da8c5
tiny,png-l3-s0-f0,png,True,,271,0.007129666666666667,False,a6857ba3285dd90eec16183669e6b9b916a12bd86605b7bb5bea4250dcb5f33b
tiny,png-l3-s0-f1,png,True,,271,0.005573333333333334,False,075afbb4ebef040ad6f9a7b96f1611b2afdf84b5183c37684b43f2ce1e321542
tiny,png-l3-s0-f2,png,True,,271,0.005513333333333334,False,7ca1611830e7beaea0b3fbcb4ff8fef5d1ccf1f9d44735e58dc0cb0f8efff1ef
tiny,png-l3-s3-f0,png,True,,271,0.005506666666666667,False,de90419735e06c348c938e41809b8555c497425a6119e5f6af0147e0e6cdfd67
tiny,png-l3-s3-f1,png,True,,271,0.0063033333333333335,False,83f148d28360db75371b0820d967a8608ee25cc4fa7b98be93463c45474a979c
tiny,png-l3-s3-f2,png,True,,271,0.005583333333333333,False,b52ca31a5e1530d5068771899ad34ea1a0f69d20a6dc58a434c6161bc96da8c5
tiny,png-l3-s2-f0,png,True,,271,0.005573,False,de90419735e06c348c938e41809b8555c497425a6119e5f6af0147e0e6cdfd67
tiny,png-l3-s2-f1,png,True,,271,0.005533333333333334,False,83f148d28360db75371b0820d967a8608ee25cc4fa7b98be93463c45474a979c
tiny,png-l3-s2-f2,png,True,,271,0.00549,False,b52ca31a5e1530d5068771899ad34ea1a0f69d20a6dc58a434c6161bc96da8c5
solid,raw,raw,True,,196608,0.005349666666666667,False,4bd4c4b675183fb84ef2d62b81fe4d4c5c31dc3ce73cac94c24fbb2330547018
solid,rle2,rle2,True,,3040,0.05769666666666667,False,580b9c347612a12f719964f0450170faa71fa02e59d40e3f10963e783d4688a6
solid,szip-o0-b32768-r1-i0,szip,True,,128,1475.140958,False,9b3324cc1b13a1f1e9e5eb0f444f56d541d411f035e31756d0c125fa88d0d2fa
solid,szip-o0-b131072-r1-i0,szip,True,,52,4823.965776666666,False,51ab558e2624f49607a3eed24786f1a3ef5b1eab606fb7dfd25cb1aa2d69d776
solid,szip-o0-b4259840-r1-i0,szip,True,,33,8007.707666666667,False,39fa69cc12032ae73650586018a161f771d4245a760fb99aab7fbd8bd11d97ba
solid,szip-o3-b32768-r1-i0,szip,True,,128,0.5659503333333333,False,7cbbb94c43610be5bc0d93745307b6416451036d669858fd5913baea0c99a1c4
solid,szip-o3-b131072-r1-i0,szip,True,,52,0.524847,False,0385488393a55abf1b879df2907776a9d6931c30a49a611a8b46c5580f2fca74
solid,szip-o3-b4259840-r1-i0,szip,True,,33,0.479457,False,a2ab4ffd128b7b8f1e1dbeb1ffd664a1aade594e9fd7a3cbfc7f473afb7fc616
solid,szip-o4-b32768-r1-i0,szip,True,,128,0.42877766666666667,False,eeea4eed44296ecafcd5943a9de332276c8a490010345c8da437856def9652ee
solid,szip-o4-b131072-r1-i0,szip,True,,52,0.36460766666666666,False,ed2fda0931cae0903bd1af473adabbfe49facacb0e42ac050e3710f248ff807e
solid,szip-o4-b4259840-r1-i0,szip,True,,33,0.344408,False,1ed32efbc0b390d756f0595f6ced4d6a55b67863060c499860bddbe3f93823e8
solid,szip-o6-b32768-r1-i0,szip,True,,128,1.033454,False,bf4579251ece31f5d5a71f26a12296dd3f7908a7fd390b179beeb531910b409d
